"id","title","normalized_title","type","subtype","grade","is_event","is_personal","description","raw_response"
"374","🔖 Личный свиток антилопы","личный свиток антилопы","свиток",NULL,NULL,"0","1","Увеличивает бонус к золоту с монстров на 100%
Срок действия: 1 час Для использования: /use_pgold

","📋 Страница ресурса

🔖 Личный свиток антилопы
Увеличивает бонус к золоту с монстров на 100%
Срок действия: 1 час 
* Предмет нельзя передать
Для использования: /use_pgold

Дроп c монстров:
🐰 Пасхальный кролик🔸1 🌋 Пещера Нумеадора
🐺Воплощение Пурги🌨🔸28 🏰Зал Пурги
💀 Маржана, воплощение зимы🔸30 🏰Зал Маржаны
😈Чудище из разлома🔸35 Test PVP"
"375","🔖 Личный свиток благословения","личный свиток благословения","прочее",NULL,NULL,"0","1","Увеличивает получаемый опыт на +100% 
Срок действия: 1 час Для использования: /use_p_exp

","📋 Страница ресурса

🔖 Личный свиток благословения
Увеличивает получаемый опыт на +100% 
Срок действия: 1 час 
* Предмет нельзя передать
Для использования: /use_p_exp

Дроп c монстров:
💀 Маржана, воплощение зимы🔸30 🏰Зал Маржаны
😈Чудище из разлома🔸35 Test PVP"
"376","🎈Воздушный шар","воздушный шар","ивент",NULL,NULL,"0","1","Парит...","📋 Страница ресурса

🎈Воздушный шар
Парит... 
* Предмет нельзя передать"
"377","🏮 Праздничный фонарь","праздничный фонарь","ивент",NULL,NULL,"0","1","Включает в себя один из следующих предметов: 
🎲 Моментальная лотерея
🔗 Фрагмент экипировки
🔖 Свиток удачи
💰 Кошель с золотом (100)
💝 Комплимент
📢 Рупор
💩 Карма
❇️ Сосна 
✴️ Дуб 
⏺ Бук 
⚛️ Амарант
❇️ Кожа
✴️ Кость
⏺ Хитин
⚛️ Кровь
❇️ Олово
✴️ Медь
⏺ Кованая сталь
⚛️ Титан
Для использования: /use_fl","📋 Страница ресурса

🏮 Праздничный фонарь
Включает в себя один из следующих предметов: 
🎲 Моментальная лотерея
🔗 Фрагмент экипировки
🔖 Свиток удачи
💰 Кошель с золотом (100)
💝 Комплимент
📢 Рупор
💩 Карма
❇️ Сосна 
✴️ Дуб 
⏺ Бук 
⚛️ Амарант
❇️ Кожа
✴️ Кость
⏺ Хитин
⚛️ Кровь
❇️ Олово
✴️ Медь
⏺ Кованая сталь
⚛️ Титан

* Предмет нельзя передать
Для использования: /use_fl"
"378","🛍 Праздничный пакет","праздничный пакет","ивент",NULL,NULL,"0","1","Включает в себя один из следующих предметов:
👝 Мешок с ресурсами [III]
💰 Котомка с золотом (250)
💰 Мешок с золотом (600)
🎟 Сертификат cброса параметров
🔖 Безопасный свиток заточки [I]
🔖 Безопасный свиток заточки [II]
🔖 Безопасный свиток заточки [III]
💚 Личный бонус регенерации 24ч
🌟 Личный премиум 24ч
🍞 Корка хлеба [II] - 24ч
🍞 Корка хлеба [II] - 3 дня
🥪 Бутерброд [III] - 24ч
🥪 Бутерброд [III] - 3 дня
🌡Усиление [III] +3 ловкость (1 ч)
🌡Усиление [III] +3 интуиция (1 ч)
🌡Усиление [III] +3 выносливость (1 ч)
🌡Усиление [III] +3 сила (1 ч)
🏮 Праздничный фонарь
🛑 Философский камень
🛑🔥 Обожженный философский камень
🎲 Моментальная лотерея
Для использования: /use_fb","📋 Страница ресурса

🛍 Праздничный пакет
Включает в себя один из следующих предметов:
👝 Мешок с ресурсами [III]
💰 Котомка с золотом (250)
💰 Мешок с золотом (600)
🎟 Сертификат cброса параметров
🔖 Безопасный свиток заточки [I]
🔖 Безопасный свиток заточки [II]
🔖 Безопасный свиток заточки [III]
💚 Личный бонус регенерации 24ч
🌟 Личный премиум 24ч
🍞 Корка хлеба [II] - 24ч
🍞 Корка хлеба [II] - 3 дня
🥪 Бутерброд [III] - 24ч
🥪 Бутерброд [III] - 3 дня
🌡Усиление [III] +3 ловкость (1 ч)
🌡Усиление [III] +3 интуиция (1 ч)
🌡Усиление [III] +3 выносливость (1 ч)
🌡Усиление [III] +3 сила (1 ч)
🏮 Праздничный фонарь
🛑 Философский камень
🛑🔥 Обожженный философский камень
🎲 Моментальная лотерея

* Предмет нельзя передать
Для использования: /use_fb"
"379","🎁 Carbarack box [III]","carbarack box","контейнер",NULL,"III","0","0","Комплект включает: 
🔖 Свиток Кселеса - 1 шт
🔖 Безопасный свиток заточки [I] - 2 шт
🔖 Безопасный свиток заточки [III] - 3 шт 
🌡Усиление [III] +3 сила (1 ч) - 3 шт
🌡Усиление [III] +3 ловкость (1 ч) - 3 шт
🌡Усиление [III] +3 интуиция (1 ч) - 3 шт
🌡Усиление [III] +3 выносливость (1 ч) 3 шт
💟 Набор талантов
🔖 Свиток удачи - 10 шт
🌡 Эликсир здоровья +100% - 10 шт
🥪 Бутерброд [III] - 7 дней
Для использования: /use_c3","📋 Страница ресурса

🎁 Carbarack box [III]
Комплект включает: 
🔖 Свиток Кселеса - 1 шт
🔖 Безопасный свиток заточки [I] - 2 шт
🔖 Безопасный свиток заточки [III] - 3 шт 
🌡Усиление [III] +3 сила (1 ч) - 3 шт
🌡Усиление [III] +3 ловкость (1 ч) - 3 шт
🌡Усиление [III] +3 интуиция (1 ч) - 3 шт
🌡Усиление [III] +3 выносливость (1 ч) 3 шт
💟 Набор талантов
🔖 Свиток удачи - 10 шт
🌡 Эликсир здоровья +100% - 10 шт
🥪 Бутерброд [III] - 7 дней
Для использования: /use_c3"
"380","🕋 Graceful Box","graceful box","контейнер",NULL,NULL,"0","0","Комплект включает:
🧤 Rhino Graceful Gloves
🎽 T.Rex Graceful Armor
🥾 Graceful Boots
🎩 Graceful Helmet
+
📦 Набор безопасных заточек [III] 10 шт.
Для использования: /use_graceful","📋 Страница ресурса

🕋 Graceful Box
Комплект включает:
🧤 Rhino Graceful Gloves
🎽 T.Rex Graceful Armor
🥾 Graceful Boots
🎩 Graceful Helmet
+
📦 Набор безопасных заточек [III] 10 шт.
Для использования: /use_graceful"
"381","🕋 Crusher Box","crusher box","контейнер",NULL,NULL,"0","0","Комплект включает:
🧤 Rhino Crusher Gloves
🎽 T.Rex Crusher Armor
🥾 Crusher Boots
🎩 Crusher Helmet
+
📦 Набор безопасных заточек [III] 10 шт.
Для использования: /use_crusher","📋 Страница ресурса

🕋 Crusher Box
Комплект включает:
🧤 Rhino Crusher Gloves
🎽 T.Rex Crusher Armor
🥾 Crusher Boots
🎩 Crusher Helmet
+
📦 Набор безопасных заточек [III] 10 шт.
Для использования: /use_crusher"
"382","🕋 Dissent Box","dissent box","контейнер",NULL,NULL,"0","0","Комплект включает:
🧤 Rhino Dissent Bracers
🎽 T.Rex Dissent Jacket
🥾 Dissent Shoes
🎩 Dissent Helm
+
📦 Набор безопасных заточек [III] 10 шт.
Для использования: /use_dissent","📋 Страница ресурса

🕋 Dissent Box
Комплект включает:
🧤 Rhino Dissent Bracers
🎽 T.Rex Dissent Jacket
🥾 Dissent Shoes
🎩 Dissent Helm
+
📦 Набор безопасных заточек [III] 10 шт.
Для использования: /use_dissent"
"383","🕋 Berserker's Box","berserkers box","контейнер",NULL,NULL,"0","0","Комплект включает:
🧤 Rhino Berserker's Gloves
🎽 T.Rex Berserker's Armor
🥾 Berserker's Boots
🎩 Berserker's Helmet
+
📦 Набор безопасных заточек [III] 10 шт.
Для использования: /use_berserker","📋 Страница ресурса

🕋 Berserker's Box
Комплект включает:
🧤 Rhino Berserker's Gloves
🎽 T.Rex Berserker's Armor
🥾 Berserker's Boots
🎩 Berserker's Helmet
+
📦 Набор безопасных заточек [III] 10 шт.
Для использования: /use_berserker"
"384","🕋 Siege Heavy Box","siege heavy box","контейнер",NULL,NULL,"0","0","Комплект включает:
🧤 Rhino Siege Heavy Gloves
🎽 T.Rex Siege Heavy Armor
🥾 Siege Heavy Boots
🎩 Siege Heavy Helm
+
📦 Набор безопасных заточек [III] 10 шт.
Для использования: /use_siege","📋 Страница ресурса

🕋 Siege Heavy Box
Комплект включает:
🧤 Rhino Siege Heavy Gloves
🎽 T.Rex Siege Heavy Armor
🥾 Siege Heavy Boots
🎩 Siege Heavy Helm
+
📦 Набор безопасных заточек [III] 10 шт.
Для использования: /use_siege"
"385","🕋 Box of Aspirations","box of aspirations","контейнер",NULL,NULL,"0","0","Комплект включает:
🧤 Rhino Gloves of Aspirations
🎽 T.Rex Armor of Aspirations
🥾 Sandals of Aspirations
🎩 Helmet of Aspirations
+
📦 Набор безопасных заточек [III] 10 шт.
Для использования: /use_aspiration","📋 Страница ресурса

🕋 Box of Aspirations
Комплект включает:
🧤 Rhino Gloves of Aspirations
🎽 T.Rex Armor of Aspirations
🥾 Sandals of Aspirations
🎩 Helmet of Aspirations
+
📦 Набор безопасных заточек [III] 10 шт.
Для использования: /use_aspiration"
"386","🕋 Saboteur's Box","saboteurs box","контейнер",NULL,NULL,"0","0","Комплект включает:
🧤 Rhino Saboteur's Gloves
🎽 T.Rex Saboteur's Armor
🥾 Saboteur's Boots
🎩 Saboteur's Helmet
+
📦 Набор безопасных заточек [III] 10 шт.
Для использования: /use_saboteur","📋 Страница ресурса

🕋 Saboteur's Box
Комплект включает:
🧤 Rhino Saboteur's Gloves
🎽 T.Rex Saboteur's Armor
🥾 Saboteur's Boots
🎩 Saboteur's Helmet
+
📦 Набор безопасных заточек [III] 10 шт.
Для использования: /use_saboteur"
"387","🎁 Carbarack box [II]","carbarack box","контейнер",NULL,"II","0","0","Комплект включает: 
🔖 Свиток Кселеса - 1 шт
🔖 Безопасный свиток заточки [I] - 2 шт
🔖 Безопасный свиток заточки [II] - 3 шт 
🌡Усиление [II] +2 сила (1 ч) - 3 шт
🌡Усиление [II] +2 ловкость (1 ч) - 3 шт
🌡Усиление [II] +2 интуиция (1 ч) - 3 шт
🌡Усиление [II] +2 выносл. (1 ч) -  3 шт
💟 Набор талантов - 1 шт
🔖 Свиток удачи - 10 шт
🌡 Эликсир здоровья +100% - 10 шт
🍞 Корка хлеба [II] - 7 дней
Для использования: /use_c2","📋 Страница ресурса

🎁 Carbarack box [II]
Комплект включает: 
🔖 Свиток Кселеса - 1 шт
🔖 Безопасный свиток заточки [I] - 2 шт
🔖 Безопасный свиток заточки [II] - 3 шт 
🌡Усиление [II] +2 сила (1 ч) - 3 шт
🌡Усиление [II] +2 ловкость (1 ч) - 3 шт
🌡Усиление [II] +2 интуиция (1 ч) - 3 шт
🌡Усиление [II] +2 выносл. (1 ч) -  3 шт
💟 Набор талантов - 1 шт
🔖 Свиток удачи - 10 шт
🌡 Эликсир здоровья +100% - 10 шт
🍞 Корка хлеба [II] - 7 дней
Для использования: /use_c2"
"388","🎁 Engagement Box","engagement box","контейнер",NULL,NULL,"0","0","Комплект включает: 
💚 Бонус регенерации 3 дня
🌟 Личный премиум 24ч - 3 шт.
🌡 Эликсир здоровья +100% - 3 шт.
🔖 Свиток удачи - 3 шт.
Для использования: /use_engagement","📋 Страница ресурса

🎁 Engagement Box
Комплект включает: 
💚 Бонус регенерации 3 дня
🌟 Личный премиум 24ч - 3 шт.
🌡 Эликсир здоровья +100% - 3 шт.
🔖 Свиток удачи - 3 шт.
Для использования: /use_engagement"
"389","🧩 Обрывок знания","обрывок знания","документ",NULL,NULL,"0","1","На клочке бумаги неразборчивые письмена. 
","📋 Страница ресурса

🧩 Обрывок знания
На клочке бумаги неразборчивые письмена. 
* Предмет нельзя передать

Дроп c монстров:
🦏 Rhino🔸22 🌿 Заросли
🦖 T.Rex🔸22 💦 Сквозь водопад
🐈 Снежный барс🔸26 🗻 Заснеженная гора
🐺 Полярный волк🔸26 🗻 Заснеженная гора"
"390","📜 Свиток знания","свиток знания","свиток",NULL,NULL,"0","1","При использовании позволяет изучить приём регенерации. /use_combo_regen","📋 Страница ресурса

📜 Свиток знания
При использовании позволяет изучить приём регенерации. 
* Предмет нельзя передать
/use_combo_regen"
"391","📦 Контейнер","контейнер","прочее",NULL,NULL,"0","1","Предмет включает в себя одну из следующих вещей:

🔖 Свиток Кселеса
🔖 Безопасный свиток заточки [II] - 3 шт.
🔖 Безопасный свиток заточки [III] - 3 шт.
🔖 Безопасный свиток заточки [IV] - 3 шт.
🔖 Свиток удачи - 5 шт.
🌟 Премиум 7 дней
💚 Бонус регенерации 7 дней
🍪 Печенька - 3 шт.
🍞 Корка хлеба [II] - 7 дней
🥪 Бутерброд [III] - 7 дней
💰 Мешок с золотом (600)
💟 Талант - Оракул
💟 Талант - Орлиный глаз
💟 Талант - Золотая антилопа
💟 Талант - Закалка
💟 Талант - Блестящие латы
🌡 Усиление [III] +3 сила (1 ч)- 5 шт.
🌡 Усиление [III] +3 ловкость (1 ч) - 5 шт.
🌡 Усиление [III] +3 интуиция (1 ч) - 5 шт.
🌡 Усиление [III] +3 выносливость (1 ч) - 5 шт.
Для использования: /use_box_may","📋 Страница ресурса

📦 Контейнер
Предмет включает в себя одну из следующих вещей:

🔖 Свиток Кселеса
🔖 Безопасный свиток заточки [II] - 3 шт.
🔖 Безопасный свиток заточки [III] - 3 шт.
🔖 Безопасный свиток заточки [IV] - 3 шт.
🔖 Свиток удачи - 5 шт.
🌟 Премиум 7 дней
💚 Бонус регенерации 7 дней
🍪 Печенька - 3 шт.
🍞 Корка хлеба [II] - 7 дней
🥪 Бутерброд [III] - 7 дней
💰 Мешок с золотом (600)
💟 Талант - Оракул
💟 Талант - Орлиный глаз
💟 Талант - Золотая антилопа
💟 Талант - Закалка
💟 Талант - Блестящие латы
🌡 Усиление [III] +3 сила (1 ч)- 5 шт.
🌡 Усиление [III] +3 ловкость (1 ч) - 5 шт.
🌡 Усиление [III] +3 интуиция (1 ч) - 5 шт.
🌡 Усиление [III] +3 выносливость (1 ч) - 5 шт.

* Предмет нельзя передать
Для использования: /use_box_may"
"394","💖 Ваше здоровье полностью восстановлено","ваше здоровье полностью восстановлено","прочее",NULL,NULL,"0","0",NULL,"💖 Ваше здоровье полностью восстановлено"
"410","🔰 Нашивка разбойников","нашивка разбойников","прочее",NULL,NULL,"0","1","Хмм, что же это значит? 
","📋 Страница ресурса

🔰 Нашивка разбойников
Хмм, что же это значит? 
* Предмет нельзя передать

Дроп c монстров:
🧝🏽‍♂️🏹 Эльф разбойник🔸16 🏞Купеческий тракт
🧟‍♂️🪓 Орк громила🔸17 🏞Купеческий тракт
👨🏻‍🎤🗡  Человек грабитель🔸18 🏞Купеческий тракт"
"411","🟫 Шкура","шкура","материал",NULL,NULL,"0","1","Шкура убитых зверей. 
","📋 Страница ресурса

🟫 Шкура
Шкура убитых зверей. 
* Предмет нельзя передать

Дроп c монстров:
🐕 Пёс зомби🔸13 ☠️ Проклятые земли
🧝🏿‍♀️ Дриада🔸18 🐾🍃Охотничьи угодья
🧔‍♂️🐎 Кентавр🔸18 🐾🍃Охотничьи угодья
🌳 Древень🔸19 🐾🍃Охотничьи угодья
🐺 Оборотень🔸20 🐾🍃Охотничьи угодья
🧙‍♂️ Друид🔸21 🐾🍃Охотничьи угодья
🐎 Пегас🔸21 🐾🍃Охотничьи угодья
🧌 Леший🔸22 🐾🍃Охотничьи угодья
🦄 Единорог🔸23 🐾🍃Охотничьи угодья"
"412","⛓ Грубый металл","грубый металл","материал",NULL,NULL,"0","0","Бесполезный хлам","📋 Страница ресурса

⛓ Грубый металл
Бесполезный хлам"
"413","💎 Неограненный алмаз","неограненный алмаз","материал",NULL,NULL,"0","0","Можно продать скупщику

","📋 Страница ресурса

💎 Неограненный алмаз
Можно продать скупщику

Дроп c монстров:
🗽 Большой двимеритовый страж🔸30 ⛏Двимеритовый рудник[🧲]"
"414","💎 Алмаз","алмаз","материал",NULL,NULL,"0","0","Можно продать скупщику

","📋 Страница ресурса

💎 Алмаз
Можно продать скупщику

Дроп c монстров:
🗽 Большой двимеритовый страж🔸30 ⛏Двимеритовый рудник[🧲]"
"415","💀 Черепа убитых","черепа убитых","материал",NULL,NULL,"0","1","Служит доказательством очистки земель. 
","📋 Страница ресурса

💀 Черепа убитых
Служит доказательством очистки земель. 
* Предмет нельзя передать

Дроп c монстров:
🐹 Лемминг🔸24 🗻 Заснеженная гора
🐇 Арктический беляк🔸24 🗻 Заснеженная гора
🐇 Арктический беляк🔸24 🗻 Заснеженная гора
🐹 Лемминг🔸24 🗻 Заснеженная гора
🦦 Морж🔸25 🗻 Заснеженная гора
🦦 Морж🔸25 🗻 Заснеженная гора
🦌 Северный олень🔸25 🗻 Заснеженная гора
🦌 Северный олень🔸25 🗻 Заснеженная гора
🐈 Снежный барс🔸26 🗻 Заснеженная гора
🐺 Полярный волк🔸26 🗻 Заснеженная гора
🐈 Снежный барс🔸26 🗻 Заснеженная гора
🐺 Полярный волк🔸26 🗻 Заснеженная гора"
"416","🎖 Медаль первопроходца","медаль первопроходца","валюта",NULL,NULL,"0","1","Награда за освоение новых территорий. По словам Елены, они еще пригодятся.","📋 Страница ресурса

🎖 Медаль первопроходца
Награда за освоение новых территорий. По словам Елены, они еще пригодятся. 
* Предмет нельзя передать"
"417","🌙Лунная монета","лунная монета","валюта",NULL,NULL,"0","1","Монета из латуни в форме полумесяца. 
","📋 Страница ресурса

🌙Лунная монета
Монета из латуни в форме полумесяца. 
* Предмет нельзя передать

Дроп c монстров:
🧟‍♂️Орк сторожевой🔸16 🏕 Внутренний двор
👷🏼‍♂️Интендант Крикс🔸18 🏕Склад с припасами
🧝🏻‍♂️Даэрон и 🧝🏻‍♀️Мираэль🔸19 🏕 Вход в замок
🧝🏻‍♂️Даэрон и 🧝🏻‍♀️Мираэль🔸19 🏕 Вход в замок
🦹🏻‍♂Ротун, глава разбойников🔸20 🏕Главный зал
🦹🏻‍♂Ротун, глава разбойников🔸20 🏕Главный зал"
"418","🌑Морозная руда","морозная руда","материал",NULL,NULL,"0","1","Руда добываемая в морозной шахте. 
","📋 Страница ресурса

🌑Морозная руда
Руда добываемая в морозной шахте. 
* Предмет нельзя передать

Дроп c монстров:
🧔🏿⛏ Гном рудокоп🔸25 🧊⛏🧊Морозная шахта
🧔🏿⛏ Гном рудокоп🔸25 🧊⛏🧊Морозная шахта
🗻 Рудная жила🔸30 🧊⛏🧊Морозная шахта
🗻 Рудная жила🔸30 🧊⛏🧊Морозная шахта"
"419","💠Морозный кристалл","морозный кристалл","материал",NULL,NULL,"0","0","Можно продать скупщику

","📋 Страница ресурса

💠Морозный кристалл
Можно продать скупщику

Дроп c монстров:
👳🏿‍♂️ Гном начальник шахты🔸27 🧊⛏🧊Морозная шахта
🌪Дух Вьюги🔸27 🏰Зал Вьюги
💨Дух Метели🔸29 🏰Зал Метели
💀 Маржана, воплощение зимы🔸30 🏰Зал Маржаны
🗻 Рудная жила🔸30 🧊⛏🧊Морозная шахта"
"420","🐟 Карбарась","карбарась","материал",NULL,NULL,"0","0","обычный","📋 Страница ресурса

🐟 Карбарась
обычный"
"421","🐠 Миледокунь","миледокунь","еда",NULL,NULL,"0","0","редкий","📋 Страница ресурса

🐠 Миледокунь
редкий"
"422","🌿 Водоросли","водоросли","материал",NULL,NULL,"0","0","на продажу","📋 Страница ресурса

🌿 Водоросли
на продажу"
"423","🦴 Кость","кость","материал",NULL,NULL,"0","0","на продажу","📋 Страница ресурса

🦴 Кость
на продажу"
"424","🥩 Кусок мяса","кусок мяса","еда",NULL,NULL,"0","0","обычный","📋 Страница ресурса

🥩 Кусок мяса
обычный"
"425","🍖 Деликатесное мясо","деликатесное мясо","еда",NULL,NULL,"0","0","редкое","📋 Страница ресурса

🍖 Деликатесное мясо
редкое"
"426","🧂 Соль","соль","еда",NULL,NULL,"0","0","Какое же блюдо без соли?","📋 Страница ресурса

🧂 Соль
Какое же блюдо без соли?"
"427","🥘 Блюдо из мяса [I]","блюдо из мяса","еда",NULL,"I","0","0","Увеличивает:
🗡 Атаку на 10 ед.
Время действия: 2 часа
Для использования: /use_meat_eat","📋 Страница ресурса

🥘 Блюдо из мяса [I]
Увеличивает:
🗡 Атаку на 10 ед.
Время действия: 2 часа
Для использования: /use_meat_eat"
"428","🍲 Блюдо из рыбы [I]","блюдо из рыбы","еда",NULL,"I","0","0","Увеличивает: 
❤️ Здоровье на 50 ед.
Время действия: 2 часа 
Для использования: /use_fish_eat","📋 Страница ресурса

🍲 Блюдо из рыбы [I]
Увеличивает: 
❤️ Здоровье на 50 ед.
Время действия: 2 часа 
Для использования: /use_fish_eat"
"429","🍛 Аквельский обед [I]","аквельский обед","еда",NULL,"I","0","0","Увеличивает: 
🗡 Атаку на 15 ед.
❤️ Здоровье на 75 ед.
Время действия: 2 часа 
Для использования: /use_acvelia_eat","📋 Страница ресурса

🍛 Аквельский обед [I]
Увеличивает: 
🗡 Атаку на 15 ед.
❤️ Здоровье на 75 ед.
Время действия: 2 часа 
Для использования: /use_acvelia_eat"
"430","🦺Часть экипировки разбойников","часть экипировки разбойников","квест",NULL,NULL,"0","1","Снятая с бездыханного тела разбойника. 
","📋 Страница ресурса

🦺Часть экипировки разбойников
Снятая с бездыханного тела разбойника. 
* Предмет нельзя передать

Дроп c монстров:
🧝🏽‍♂️🏹 Эльф разбойник🔸16 🏞Купеческий тракт
🧝🏽‍♂️🏹 Эльф разбойник🔸16 🏞Купеческий тракт
🧟‍♂️🪓 Орк громила🔸17 🏞Купеческий тракт
🧟‍♂️🪓 Орк громила🔸17 🏞Купеческий тракт
👨🏻‍🎤🗡  Человек грабитель🔸18 🏞Купеческий тракт
👨🏻‍🎤🗡  Человек грабитель🔸18 🏞Купеческий тракт"
"431","🦺Экипировка разбойника","экипировка разбойника","квест",NULL,NULL,"0","1","Полный комплект доспехов, в нем можно пробраться в лагерь Ротуна.","📋 Страница ресурса

🦺Экипировка разбойника
Полный комплект доспехов, в нем можно пробраться в лагерь Ротуна. 
* Предмет нельзя передать"
"432","🎖 Знак отличия","знак отличия","прочее",NULL,NULL,"0","1","Эвентовый.","📋 Страница ресурса

🎖 Знак отличия
Эвентовый. 
* Предмет нельзя передать"
"433","📄Рецепт [III]: Ледяная туника жреца","рецепт ледяная туника жреца","рецепт",NULL,"III","0","0","Инструкция по созданию вещи.

","📋 Страница ресурса

📄Рецепт [III]: Ледяная туника жреца
Инструкция по созданию вещи.

Дроп c монстров:
🧔🏿⛏ Гном рудокоп🔸25 🧊⛏🧊Морозная шахта
🐺 Полярный волк🔸26 🗻 Заснеженная гора
🗽 Большой двимеритовый страж🔸30 ⛏Двимеритовый рудник[🧲]"
"434","📄Рецепт [III]: Ледяная мантия жреца","рецепт ледяная мантия жреца","рецепт",NULL,"III","0","0","Инструкция по созданию вещи.

","📋 Страница ресурса

📄Рецепт [III]: Ледяная мантия жреца
Инструкция по созданию вещи.

Дроп c монстров:
🦦 Морж🔸25 🗻 Заснеженная гора
🔨🧔🏿🛡 Гном стражник🔸26 🧊⛏🧊Морозная шахта
👨🏿🐻 Всадник на медведе🔸30 🐻Медвежье ущелье[🔨]"
"435","📄Рецепт [III]: Ледяные латы стража","рецепт ледяные латы стража","рецепт",NULL,"III","0","0","Инструкция по созданию вещи.

","📋 Страница ресурса

📄Рецепт [III]: Ледяные латы стража
Инструкция по созданию вещи.

Дроп c монстров:
🐹 Лемминг🔸24 🗻 Заснеженная гора
👳🏿‍♂️ Гном начальник шахты🔸27 🧊⛏🧊Морозная шахта
🗽 Большой двимеритовый страж🔸30 ⛏Двимеритовый рудник[🧲]"
"436","📄Рецепт [III]: Ледяная бригантина стража","рецепт ледяная бригантина стража","рецепт",NULL,"III","0","0","Инструкция по созданию вещи.

","📋 Страница ресурса

📄Рецепт [III]: Ледяная бригантина стража
Инструкция по созданию вещи.

Дроп c монстров:
🐇 Арктический беляк🔸24 🗻 Заснеженная гора
🧔🏿⛏ Гном рудокоп🔸25 🧊⛏🧊Морозная шахта
👨🏿🐻 Всадник на медведе🔸30 🐻Медвежье ущелье[🔨]"
"437","📄Рецепт [III]: Ледяная кольчуга изменника","рецепт ледяная кольчуга изменника","рецепт",NULL,"III","0","0","Инструкция по созданию вещи.

","📋 Страница ресурса

📄Рецепт [III]: Ледяная кольчуга изменника
Инструкция по созданию вещи.

Дроп c монстров:
🐹 Лемминг🔸24 🗻 Заснеженная гора
👳🏿‍♂️ Гном начальник шахты🔸27 🧊⛏🧊Морозная шахта
🗽 Большой двимеритовый страж🔸30 ⛏Двимеритовый рудник[🧲]"
"438","📄Рецепт [III]: Ледяная стёганка изменника","рецепт ледяная стёганка изменника","рецепт",NULL,"III","0","0","Инструкция по созданию вещи.

","📋 Страница ресурса

📄Рецепт [III]: Ледяная стёганка изменника
Инструкция по созданию вещи.

Дроп c монстров:
🦌 Северный олень🔸25 🗻 Заснеженная гора
🔨🧔🏿🛡 Гном стражник🔸26 🧊⛏🧊Морозная шахта
👨🏿🐻 Всадник на медведе🔸30 🐻Медвежье ущелье[🔨]"
"439","📄Рецепт [III]: Ледяная кираса провидца","рецепт ледяная кираса провидца","рецепт",NULL,"III","0","0","Инструкция по созданию вещи.

","📋 Страница ресурса

📄Рецепт [III]: Ледяная кираса провидца
Инструкция по созданию вещи.

Дроп c монстров:
🦦 Морж🔸25 🗻 Заснеженная гора
🔨🧔🏿🛡 Гном стражник🔸26 🧊⛏🧊Морозная шахта
🗽 Большой двимеритовый страж🔸30 ⛏Двимеритовый рудник[🧲]"
"440","📄Рецепт [III]: Ледяная кольчуга провидца","рецепт ледяная кольчуга провидца","рецепт",NULL,"III","0","0","Инструкция по созданию вещи.

","📋 Страница ресурса

📄Рецепт [III]: Ледяная кольчуга провидца
Инструкция по созданию вещи.

Дроп c монстров:
🐺 Полярный волк🔸26 🗻 Заснеженная гора
👳🏿‍♂️ Гном начальник шахты🔸27 🧊⛏🧊Морозная шахта
👨🏿🐻 Всадник на медведе🔸30 🐻Медвежье ущелье[🔨]"
"441","🔗⚛️✴️Кольчужная подкладка из титана и меди","кольчужная подкладка из титана и меди","материал",NULL,NULL,"0","0","Используется для изготовления доспехов.","📋 Страница ресурса

🔗⚛️✴️Кольчужная подкладка из титана и меди
Используется для изготовления доспехов."
"442","🔗⚛️⏺Кольчужная подкладка из титана и стали","кольчужная подкладка из титана и стали","материал",NULL,NULL,"0","0","Используется для изготовления доспехов.","📋 Страница ресурса

🔗⚛️⏺Кольчужная подкладка из титана и стали
Используется для изготовления доспехов."
"443","⚛️⏺Стальные пластины с добавлением титана","стальные пластины с добавлением титана","материал",NULL,NULL,"0","0","Используется для изготовления доспехов.","📋 Страница ресурса

⚛️⏺Стальные пластины с добавлением титана
Используется для изготовления доспехов."
"444","⚛️⏺Стальные пластины запеченные в крови","стальные пластины запеченные в крови","материал",NULL,NULL,"0","0","Используется для изготовления доспехов.","📋 Страница ресурса

⚛️⏺Стальные пластины запеченные в крови
Используется для изготовления доспехов."
"445","🧵⚛️✴️Ткань из амаранта с сажей из костей","ткань из амаранта с сажей из костей","материал",NULL,NULL,"0","0","Используется для изготовления доспехов.","📋 Страница ресурса

🧵⚛️✴️Ткань из амаранта с сажей из костей
Используется для изготовления доспехов."
"446","🧵⚛️✴️Ткань из амаранта с медной вышивкой","ткань из амаранта с медной вышивкой","материал",NULL,NULL,"0","0","Используется для изготовления доспехов.","📋 Страница ресурса

🧵⚛️✴️Ткань из амаранта с медной вышивкой
Используется для изготовления доспехов."
"447","🧵⚛️❇️Кожаная основа для доспеха с амарантом","кожаная основа для доспеха с амарантом","материал",NULL,NULL,"0","0","Используется для изготовления доспехов.","📋 Страница ресурса

🧵⚛️❇️Кожаная основа для доспеха с амарантом
Используется для изготовления доспехов."
"448","🧵⚛️❇️Кожаная подкладка для доспехов с кровью","кожаная подкладка для доспехов с кровью","материал",NULL,NULL,"0","0","Используется для изготовления доспехов.","📋 Страница ресурса

🧵⚛️❇️Кожаная подкладка для доспехов с кровью
Используется для изготовления доспехов."
